"scene_code","scene_template_num","business_type_code","business_type_level","primary_tag_code","secondary_tag_code","secondary_title_level","usergroup_id","image_location","channel_touch_code_set","status","is_scene_all_touch_query","exclusive_scene_id","order_field","creator_id","create_time","update_time"
"1859827586784331094","00131","BU04","8","STX","STX003","8","1857041467768709121",,"{""100011"":""50011"",""100006"":""9001101001""}","92","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 20:22:16"
"1859827586784331095","00132","BU04","8","STX","STX012","5","1857042211469139969",,"{""100011"":""50011"",""100006"":""9001101001""}","92","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 20:22:16"
"1859827586784331096","00133","BU04","8","STJ","STJ017","7","1857042585164849153",,"{""100011"":""50011"",""100006"":""9001101001""}","92","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 20:22:16"
"1859827586784331097","00134","BU04","8","SYH","SYH003","5","1857042832372932608",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:22"
"1859827586784331098","00249","BU04","8","SYH","SYH003","5","1857051652969078784",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:22"
"1859827586784331099","00135","BU04","8","SYH","SYH003","5","1857043255565623297",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:22"
"1859827586784331100","00250","BU04","8","SYH","SYH003","5","1857052114816344065",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:23"
"1859827586784331101","00251","BU04","8","SYH","SYH003","5","1857052177378713601",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:23"
"1859827586784331102","00252","BU04","8","SYH","SYH003","5","1857052411097915392",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:23"
"1859827586784331103","00253","BU04","8","SYH","SYH003","5","1857052784634241024",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:24"
"1859827586784331104","00254","BU04","8","SYH","SYH003","5","1857053036477030400",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:24"
"1859827586784331105","00136","BU04","8","SYH","SYH010","2","1857043507169206272",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:25"
"1859827586784331106","00137","BU04","8","SYH","SYH002","3","1857044167524622337",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:25"
"1859827586784331107","00255","BU04","8","SYH","SYH002","3","1857053227930230784",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:25"
"1859827586784331108","00248","BU04","8","SYH","SYH002","3","1857051463529144320",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:26"
"1859827586784331109","00256","BU04","8","SYH","SYH002","3","1857053400903327744",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:26"
"1859827586784331110","00138","BU04","8","STJ","STJ013","6","1857044357258153985",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00108,00110",,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:27"
"1859827586784331111","00139","BU04","8","STX","STX007","1","1857044505585520641",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:27"
"1859827586784331112","00140","BU04","8","STJ","STJ006","3","1857044825409589249",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00109,00111",,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:27"
"1859827586784331113","00141","BU04","8","SGZ","SGZ003","6","1857045067282518016",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00085,00120,00230,00122,00232,00125,00235,00126,00237",,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:27"
"1859827586784331114","00237","BU04","8","SGZ","SGZ003","6","1857040492395896832",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00085,00120,00230,00122,00232,00125,00235,00126,00141",,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:28"
"1859827586784331115","00142","BU04","8","SYH","SYH011","9","1857045306395594753",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:28"
"1859827586784331116","00238","BU04","8","SYH","SYH011","9","1857040833644470272",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:28"
"1859827586784331117","00143","BU04","8","SYH","SYH008","6","1857045559601532928",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00239,00084",,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:28"
"1859827586784331118","00239","BU04","8","SYH","SYH008","6","1857041136339001344",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00084,00143",,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:29"
"1859827586784331119","00144","BU04","8","SGZ","SGZ005","7","1857045779747966977",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00121,00231,00123,00233,00124,00234,00240,00127,00098",,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:29"
"1859827586784331120","00240","BU04","8","SGZ","SGZ005","7","1857041856232562688",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00121,00231,00123,00233,00124,00234,00144,00127,00098",,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:30"
"1859827586784331121","00145","BU04","8","SYH","SYH011","9","1857046044622331904",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:30"
"1859827586784331122","00241","BU04","8","SYH","SYH011","9","1857042466642206721",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:30"
"1859827586784331123","00146","BU04","8","SGZ","SGZ004","5","1857046326794133505",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:30"
"1859827586784331124","00242","BU04","8","SGZ","SGZ004","5","1857055958153568256",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:31"
"1859827586784331125","00147","BU04","8","STJ","STJ012","11","1858908037528690689",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:31"
"1859827586784331126","00243","BU04","8","STJ","STJ012","11","1858908800837619712",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:31"
"1859827586784331127","00244","BU04","8","STJ","STJ012","11","1858909479375347712",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:31"
"1859827586784331128","00148","BU04","8","SYJ","SYJ005","4","1857046542360387584",,"{""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:32"
"1859827586784331129","00245","BU04","8","SYJ","SYJ005","4","1857043136967483393",,"{""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:32"
"1859827586784331130","00149","BU04","8","SGZ","SGZ005","7","1857046768131383296",,"{""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:32"
"1859827586784331131","00246","BU04","8","SGZ","SGZ005","7","1857041856232562688",,"{""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:32"
"1859827586784331132","00150","BU04","8","SGZ","SGZ003","6","1857047052429697024",,"{""1849751017281953793"":""10004500004""}","60","1","",,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:33"
"1859827586784331133","00247","BU04","8","SGZ","SGZ003","6","1857040492395896832",,"{""1849751017281953793"":""10004500004""}","60","1","",,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:33"
"1859827586784331134","00151","BU10","9","SYH","SYH005","12","1861658424744742913",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:33"
"1859827586784331135","00153","BU10","9","SYH","SYH012","11","1861658556647215105",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:33"
"1859827586784331136","00155","BU10","9","STX","STX006","7","1861659704141680641",,"{""100006"":""9001101013""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:33"
"1859827586784331137","00156","BU10","9","STJ","STJ007","9","1861659912263045121",,"{""100006"":""9001101013""}","92","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 20:22:16"
"1859827586784331138","00157","BU10","9","STJ","STJ010","5","1861659997617131521",,"{""100006"":""9001101013""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:34"
"1859827586784331139","00158","BU10","9","STX","STX008","7","1861658424744742913",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:34"
"1859827586784331140","00159","BU10","9","STX","STX005","6","1861660557225103360",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:34"
"1859827586784331141","00160","BU10","9","SYH","SYH004","12","1861660557225103360",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:34"
"1859827586784331142","00161","BU10","9","STJ","STJ008","8","1861660695372894209",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:35"
"1859827586784331143","00162","BU10","9","STJ","STJ009","8","1861660808400998401",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:35"
"1859827586784331144","00163","BU10","9","STJ","STJ009","8","1861660937984020480",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:35"
"1859827586784331145","00164","BU10","9","STJ","STJ009","8","1861661059002273793",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:35"
"1859827586784331146","00165","BU10","9","STJ","STJ009","8","1861661152866603008",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:35"
"1859827586784331147","00166","BU10","9","STJ","STJ007","9","1861661553506783232",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:36"
"1859827586784331148","00167","BU10","9","STJ","STJ007","9","1863874170430169089",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","3/12/2024 17:41:28","9/1/2025 23:40:36"
"1859827586784331149","00168","BU10","9","SYH","SYH009","13","1863874359354204160",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","3/12/2024 17:41:28","9/1/2025 23:40:36"
"1859827586784331150","00169","BU10","9","STJ","STJ007","9","1861803408475033600",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:36"
"1859827586784331151","00170","BU10","9","STJ","STJ007","9","1861663660133715969",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:36"
"1859827586784331152","00171","BU10","9","STJ","STJ007","9","1863874386222915584",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","3/12/2024 17:41:28","9/1/2025 23:40:37"
"1859827586784331153","00172","BU10","9","STJ","STJ007","9","1861663815368839168",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:37"
"1859827586784331154","00173","BU10","9","STJ","STJ007","9","1861803678735011841",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:37"
"1859827586784331155","00174","BU10","9","STJ","STJ007","9","1861803735517499393",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:37"
"1859827586784331156","00176","BU03","10","STJ","STJ016","10","1865711628264284161",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:37"
"1859827586784331159","00184","BU03","10","STX","STX009","4","1869281189186248704",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:37"
"1859827586784331160","00187","BU03","10","STJ","STJ016","10","1867209524424089601",,"{""100006"":""9001101002""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:38"
"1859827586784331161","00194","BU01","11","STX","STX001","12","1865703543928004609",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:38"
"1859827586784331162","00195","BU01","11","STX","STX001","12","1865703740636667904",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:38"
"1859827586784331163","00196","BU01","11","STX","STX001","12","1865703964918550530",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:38"
"1859827586784331164","00197","BU01","11","STX","STX001","12","1865704259295776768",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:39"
"1859827586784331165","00198","BU01","11","STX","STX001","12","1865704437230735361",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:39"
"1859827586784331166","00199","BU01","11","STX","STX001","12","1865704618328199168",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:39"
"1859827586784331167","00200","BU01","11","STX","STX001","12","1865704846565445633",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:39"
"1859827586784331168","00201","BU01","11","STX","STX001","12","1865705010386575360",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:39"
"1859827586784331169","00202","BU01","11","STJ","STJ001","12","1865705090124484609",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:40"
"1859827586784331170","00203","BU01","11","SYH","SYH001","14","1865705266784374784",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:42"
"1859827586784331171","00204","BU01","11","SYH","SYH001","14","1865701462957498369",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:42"
"1859827586784331172","00205","BU01","11","SYH","SYH001","14","1865701922720325633",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:42"
"1859827586784331173","00206","BU01","11","SYH","SYH001","14","1865702091083882496",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:43"
"1859827586784331174","00207","BU01","11","SYH","SYH001","14","1865702587924357120",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:43"
"1859827586784331175","00208","BU01","11","SYH","SYH001","14","1865703104587243520",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:43"
"1859827586784331176","00209","BU01","11","SYH","SYH001","14","1865703878641717249",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:43"
"1859827586784331177","00210","BU01","11","SYH","SYH001","14","1865704345916542976",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:43"
"1859827586784331178","00211","BU01","11","SYH","SYH001","14","1865705218684096512",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:44"
"1859827586784331179","00212","BU01","11","SYH","SYH001","14","1865705493104955393",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:44"
"1859827586784331180","00213","BU01","11","STJ","STJ001","12","1865705695152967681",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:44"
"1859827586784331181","00191","BU01","11","STJ","STJ021","13","1865700053277085697",,"{""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:45"
"1859827586784331182","00192","BU01","11","STX","STX013","14","1865700469066829825",,"{""100006"":""9001101002""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:45"
"1859827586784331183","00193","BU01","11","STX","STX013","14","1865701066318946305",,"{""100006"":""9001101002""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:45"
"1859827586784331222","00152","BU10","9","SYH","SYH005","4","1861658424744742913",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:45"
"1859827586784331223","00154","BU10","9","STJ","STJ015","8","1861658424744742913",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:45"
"1859827586784331224","00175","BU10","9","STJ","STJ007","9","1861658424744742913",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","19/11/2024 18:38:57","9/1/2025 23:40:46"
"1859827586784331283","00031","BU02","3","STJ","STJ014","1","1857035108847329280",,"{""100011"":""50011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:46"
"1859827586784331284","00032","BU02","3","STJ","STJ014","1","1857035409553760256",,"{""100011"":""50011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:46"
"1859827586784331285","00110","BU05","10","STJ","STJ013","6","1863945753001730048",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00108,00138",,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:46"
"1859827586784331286","00111","BU05","10","STJ","STJ006","3","1863947480698458113",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00109,00140",,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:46"
"1859827586784331287","00113","BU05","10","STJ","STJ020","4","1857046536354144256",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 18:43:37","9/1/2025 23:40:46"
"1859827586784331288","00083","BU05","10","SGZ","SGZ003","6","1857039353084383233",,"{""100006"":""9001101011""}","60","1",,,"mengll","20/11/2024 19:37:40","9/1/2025 23:40:47"
"1859827586784391164","00035","BU12","4","SYJ","SYJ002","2.5","1864638764584935425",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:38","9/1/2025 23:40:47"
"1859827586784391165","00036","BU12","4","SYJ","SYJ001","2.5","1864638764584935425",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:38","9/1/2025 23:40:47"
"1859827586784391166","00037","BU12","4","SGZ","SGZ001","4.5","1864639054512005121",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:38","9/1/2025 23:40:47"
"1859827586784391167","00038","BU12","4","SGZ","SGZ001","4.5","1864639081305219073",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:38","9/1/2025 23:40:47"
"1859827586784391168","00039","BU12","4","SGZ","SGZ001","4.5","1864639175140188161",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391169","00040","BU12","4","SGZ","SGZ001","4.5","1864639333374500865",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391170","00041","BU12","4","STJ","STJ004","1.5","1864599916958060545",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391171","00042","BU12","4","STJ","STJ018","1.5","1864600185901158400",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391172","00043","BU12","4","STJ","STJ005","1.5","1864629662236680192",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:48"
"1859827586784391173","00044","BU12","4","SYJ","SYJ005","2.5","1864639997135691776",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:39","9/1/2025 23:40:49"
"1859827586784391174","00045","BU12","4","SYJ","SYJ005","2.5","1864640107731099648",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:40","9/1/2025 23:40:50"
"1859827586784391175","00046","BU12","4","SYJ","SYJ005","2.5","1864640250693951489",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:40","9/1/2025 23:40:50"
"1859827586784391176","00047","BU12","4","SYJ","SYJ005","2.5","1864640410123640832",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:40","9/1/2025 23:40:50"
"1859827586784391177","00048","BU12","4","SGZ","SGZ003","6","1864640702294663169",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:40","9/1/2025 23:40:50"
"1859827586784391178","00049","BU12","4","SGZ","SGZ003","6","1864640730144841729",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:40","9/1/2025 23:40:50"
"1859827586784391179","00050","BU12","4","SGZ","SGZ003","6","1864646884124397568",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:40","9/1/2025 23:40:51"
"1859827586784391180","00051","BU12","4","SGZ","SGZ003","6","1864647055814037504",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:41","9/1/2025 23:40:51"
"1859827586784391181","00052","BU12","4","SYJ","SYJ006","2.5","1864647328888393728",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:41","9/1/2025 23:40:51"
"1859827586784391182","00053","BU12","4","SYJ","SYJ006","2.5","1864647356008763392",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:41","9/1/2025 23:40:51"
"1859827586784391183","00054","BU12","4","SYJ","SYJ006","2.5","1864647440381382656",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:41","9/1/2025 23:40:51"
"1859827586784391184","00055","BU12","4","SYJ","SYJ006","2.5","1864647579372228608",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:41","9/1/2025 23:40:52"
"1859827586784391185","00056","BU12","4","SGZ","SGZ005","7","1864648046605111297",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:41","9/1/2025 23:40:52"
"1859827586784391186","00057","BU12","4","SGZ","SGZ005","7","1864647953059549184",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:42","9/1/2025 23:40:52"
"1859827586784391187","00058","BU12","4","SGZ","SGZ005","7","1864647824541880321",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:42","9/1/2025 23:40:52"
"1859827586784391188","00059","BU12","4","SGZ","SGZ005","7","1864647708875558912",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:42","9/1/2025 23:40:52"
"1859827586784391189","00060","BU12","4","STJ","STJ011","1.5","1864648245389955073",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:42","9/1/2025 23:40:53"
"1859827586784391190","00061","BU12","4","STJ","STJ002","1.5","1864673516016771072",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","5/12/2024 22:44:42","9/1/2025 23:40:53"
"1859827586784391191","00062","BU12","4","STX","STX002","1.5","1864638764584935425",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:42","9/1/2025 23:40:53"
"1859827586784391192","00063","BU12","4","STJ","STJ003","1.5","1864600574306291713",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:42","9/1/2025 23:40:53"
"1859827586784391193","00064","BU12","4","STJ","STJ003","1.5","1864599916958060545",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:43","9/1/2025 23:40:54"
"1859827586784391194","00065","BU12","4","STJ","STJ003","1.5","1864600185901158400",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:43","9/1/2025 23:40:54"
"1859827586784391195","00066","BU12","4","STJ","STJ003","1.5","1864629662236680192",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:43","9/1/2025 23:40:54"
"1859827586784391196","00067","BU12","4","STJ","STJ003","1.5","1864600806297571328",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:43","9/1/2025 23:40:54"
"1859827586784391197","00068","BU12","4","STJ","STJ003","1.5","1864600906839232513",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:43","9/1/2025 23:40:54"
"1859827586784391198","00069","BU12","4","STJ","STJ003","1.5","1864648245389955073",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:43","9/1/2025 23:40:54"
"1859827586784391199","00070","BU12","4","STJ","STJ003","1.5","1864673516016771072",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","5/12/2024 22:44:43","9/1/2025 23:40:55"
"1859827586784391200","00071","BU12","4","STX","SYJ002","1.5","1864638764584935425",,"{""100006"",""9001001008""}","92","1",,,"mengll","5/12/2024 22:44:44","9/1/2025 20:15:00"
